species,genus,family,species.relative,genus.relative,avail.country.status,avail.country.status.SRgreaterthan1,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,class
Cuscuta campestris,Cuscuta,Convolvulaceae,,,yes,yes,Cuscuta campestris Yunck.,Cuscuta campestris,Yunck.,Convolvulaceae,Cuscuta,Convolvulaceae,Cuscuta,Accepted,Cuscuta campestris,Cuscuta campestris Yunck.,Cuscuta_campestris,Cuscuta_campestris,Angiosperms
Eclipta prostrata,Eclipta,Asteraceae,,,yes,yes,Eclipta prostrata (L.) L.,Eclipta prostrata,(L.) L.,Asteraceae,Eclipta,Compositae,Eclipta,Accepted,Eclipta prostrata,Eclipta prostrata (L.) L.,Eclipta_prostrata,Eclipta_prostrata,Angiosperms
Erigeron annuus,Erigeron,Asteraceae,,,yes,yes,Erigeron annuus (L.) Pers.,Erigeron annuus,(L.) Pers.,Asteraceae,Erigeron,Compositae,Erigeron,Accepted,Erigeron annuus,Erigeron annuus (L.) Pers.,Erigeron_annuus,Erigeron_annuus,Angiosperms
Erigeron canadensis,Erigeron,Asteraceae,,,yes,yes,Erigeron canadensis L.,Erigeron canadensis,L.,Asteraceae,Erigeron,Compositae,Erigeron,Accepted,Erigeron canadensis,Erigeron canadensis L.,Erigeron_canadensis,Erigeron_canadensis,Angiosperms
Galinsoga parviflora,Galinsoga,Asteraceae,,,yes,yes,Galinsoga parviflora Cav.,Galinsoga parviflora,Cav.,Asteraceae,Galinsoga,Compositae,Galinsoga,Accepted,Galinsoga parviflora,Galinsoga parviflora Cav.,Galinsoga_parviflora,Galinsoga_parviflora,Angiosperms
Helianthus tuberosus,Helianthus,Asteraceae,,,yes,yes,Helianthus tuberosus L.,Helianthus tuberosus,L.,Asteraceae,Helianthus,Compositae,Helianthus,Accepted,Helianthus tuberosus,Helianthus tuberosus L.,Helianthus_tuberosus,Helianthus_tuberosus,Angiosperms
Oenothera biennis,Oenothera,Onagraceae,,,yes,yes,Oenothera biennis L.,Oenothera biennis,L.,Onagraceae,Oenothera,Onagraceae,Oenothera,Accepted,Oenothera biennis,Oenothera biennis L.,Oenothera_biennis,Oenothera_biennis,Angiosperms
Robinia pseudoacacia,Robinia,Fabaceae,,,yes,yes,Robinia pseudoacacia L.,Robinia pseudoacacia,L.,Fabaceae,Robinia,Leguminosae,Robinia,Accepted,Robinia pseudoacacia,Robinia pseudoacacia L.,Robinia_pseudoacacia,Robinia_pseudoacacia,Angiosperms
Sigesbeckia orientalis,Sigesbeckia,Asteraceae,,,yes,yes,Sigesbeckia orientalis L.,Sigesbeckia orientalis,L.,Asteraceae,Sigesbeckia,Compositae,Sigesbeckia,Accepted,Sigesbeckia orientalis,Sigesbeckia orientalis L.,Sigesbeckia_orientalis,Sigesbeckia_orientalis,Angiosperms
Silybum marianum,Silybum,Asteraceae,,,yes,yes,Silybum marianum (L.) Gaertn.,Silybum marianum,(L.) Gaertn.,Asteraceae,Silybum,Compositae,Silybum,Accepted,Silybum marianum,Silybum marianum (L.) Gaertn.,Silybum_marianum,Silybum_marianum,Angiosperms
